latitude,longitude,location_id,landsat_scene_id,soilgrids_id
58.04698738,-117.7512353,4e414f2e,LC08_L2SP_047020_20240708_20240718_02_T1,4e414f2e
58.00199046,-121.1350523,acc8cb2b,LC08_L2SP_048019_20240629_20240709_02_T1,acc8cb2b
59.2482117,-118.6562641,efc2e65b,LC08_L2SP_048018_20240629_20240709_02_T1,efc2e65b
57.95593713,-121.0452194,5c324487,LC08_L2SP_048019_20240629_20240709_02_T1,5c324487
57.911098,-117.6699614,ba948b26,LC09_L2SP_045020_20240718_20240719_02_T1,ba948b26
59.15742184,-115.1977468,f13c89eb,LC08_L2SP_046018_20240717_20240723_02_T1,f13c89eb
57.86520764,-112.814809,97c2af0a,LC09_L2SP_042020_20240627_20240628_02_T1,97c2af0a
59.11158312,-115.2837204,276ac257,LC08_L2SP_046018_20240717_20240723_02_T1,276ac257
59.06467987,-111.7958389,8e98c682,LC08_L2SP_042019_20240721_20240723_02_T1,8e98c682
57.26903415,-111.7958389,4482f9c8,LC09_L2SP_041021_20240722_20240723_02_T1,4482f9c8
57.22536013,-115.1081626,1aa5548a,LC09_L2SP_045020_20240718_20240719_02_T1,1aa5548a
57.18175872,-111.799745,831418db,LC09_L2SP_041021_20240722_20240723_02_T1,831418db
57.13822963,-115.104274,9be10219,LC09_L2SP_045020_20240718_20240719_02_T1,9be10219
58.93391245,-115.104274,7a93f174,LC08_L2SP_046018_20240717_20240723_02_T1,7a93f174
58.88733548,-111.6342868,8cbd5dfa,LC08_L2SP_042019_20240721_20240723_02_T1,8cbd5dfa
57.59529838,-113.9995365,a55ff57b,LC09_L2SP_045020_20240718_20240719_02_T1,a55ff57b
56.30405941,-116.2843687,4dfc5cb4,LC09_L2SP_045020_20240718_20240719_02_T1,4dfc5cb4
57.5521315,-113.9219187,e2952f4b,LC09_L2SP_045020_20240718_20240719_02_T1,e2952f4b
56.26091786,-111.639659,147a11d4,LC09_L2SP_041021_20240722_20240723_02_T1,147a11d4
58.05685164,-111.639659,abc4a09a,LC08_L2SP_042019_20240721_20240723_02_T1,abc4a09a
56.26091786,-111.639659,7acc1421,LC09_L2SP_041021_20240722_20240723_02_T1,7acc1421
56.2188775,-114.8645785,b2f38bc8,LC09_L2SP_045020_20240718_20240719_02_T1,b2f38bc8
57.46703898,-112.5076239,84494ebf,LC09_L2SP_042020_20240627_20240628_02_T1,84494ebf
57.42303359,-115.8377976,1405cdf7,LC09_L2SP_045020_20240718_20240719_02_T1,1405cdf7
57.37910215,-112.511611,39c05368,LC09_L2SP_042020_20240627_20240628_02_T1,39c05368
58.62601822,-114.9461618,bd0defbf,LC09_L2SP_045020_20240718_20240719_02_T1,bd0defbf
58.57999882,-118.3856482,a69217df,LC08_L2SP_047020_20240708_20240718_02_T1,a69217df
59.82555759,-120.9072226,047a99e7,,047a99e7
58.03012607,-120.9072226,afed17c7,LC08_L2SP_048019_20240629_20240709_02_T1,afed17c7
59.82555759,-120.9072226,c03fe6e8,LC08_L2SP_048018_20240629_20240709_02_T1,c03fe6e8
58.53288896,-118.4791329,67e760a7,,67e760a7
56.73709185,-118.4791329,965f6fcb,LC09_L2SP_046021_20240709_20240710_02_T1,965f6fcb
55.44634129,-116.2441433,9bc6e306,,9bc6e306
55.40555956,-113.0858473,894c6623,LC08_L2SP_042022_20240705_20240712_02_T1,894c6623
57.20174139,-113.0858473,d37255bf,LC08_L2SP_043021_20240728_20240801_02_T1,d37255bf
55.40555956,-113.0858473,7c02c46c,LC08_L2SP_042022_20240705_20240712_02_T1,7c02c46c
57.20174139,-113.0858473,5e08554c,,5e08554c
58.44885185,-115.5081416,ab919292,LC09_L2SP_045020_20240718_20240719_02_T1,ab919292
56.65303069,-115.5081416,de0ea6d4,LC09_L2SP_045020_20240718_20240719_02_T1,de0ea6d4
55.3623263,-113.2778905,8434aec6,,8434aec6
55.32167143,-116.4295074,f4a966ac,LC08_L2SP_046022_20240717_20240723_02_T1,f4a966ac
55.28107775,-113.28111,61dad3da,LC09_L2SP_044021_20240711_20240712_02_T1,61dad3da
56.53020331,-115.579544,7a8248c1,,7a8248c1
56.48773508,-112.3318305,bcbd91f5,,bcbd91f5
56.44533472,-115.5759231,1ed895a7,,1ed895a7
58.24121544,-115.5759231,4c9158c2,LC09_L2SP_045020_20240718_20240719_02_T1,4c9158c2
56.94958734,-113.2517328,f9922e88,LC09_L2SP_044021_20240711_20240712_02_T1,f9922e88
55.15333175,-113.2517328,0d2afb49,LC08_L2SP_042022_20240705_20240712_02_T1,0d2afb49
56.40258589,-115.5424668,307f077b,LC09_L2SP_045020_20240718_20240719_02_T1,307f077b
57.65055419,-113.1736218,472dc828,,472dc828
56.35928268,-115.4617573,29d3b341,LC09_L2SP_045020_20240718_20240719_02_T1,29d3b341
56.31708673,-118.6949575,e11c79d5,,e11c79d5
56.27495762,-115.4653159,0dcc9197,LC09_L2SP_045020_20240718_20240719_02_T1,0dcc9197
57.52306028,-113.1047468,7fa15647,LC09_L2SP_042020_20240627_20240628_02_T1,7fa15647
55.72697203,-113.1047468,03be36be,LC09_L2SP_044021_20240711_20240712_02_T1,03be36be
55.6857626,-116.2856095,30805ca5,LC09_L2SP_046021_20240709_20240710_02_T1,30805ca5
55.64461636,-119.4631333,29f79d4f,,29f79d4f
55.60353308,-116.2889345,56c7d832,LC09_L2SP_046021_20240709_20240710_02_T1,56c7d832
56.8523312,-118.6070893,9da16581,LC09_L2SP_046021_20240709_20240710_02_T1,9da16581
55.56151688,-116.365563,f6e280ee,LC08_L2SP_046022_20240717_20240723_02_T1,f6e280ee
55.52056035,-119.5330726,fb57de70,LC09_L2SP_046021_20240709_20240710_02_T1,fb57de70
57.31670865,-119.5330726,e7a0532d,,e7a0532d
57.27295517,-116.2164722,dbacff31,LC09_L2SP_045020_20240718_20240719_02_T1,dbacff31
57.22927462,-112.9037973,5d0edd97,LC08_L2SP_043021_20240728_20240801_02_T1,5d0edd97
57.18566671,-116.2125645,fc406c04,LC09_L2SP_045020_20240718_20240719_02_T1,fc406c04
55.89466481,-118.4732681,c9126e86,,c9126e86
57.14316369,-116.1369507,e5102da4,LC09_L2SP_045020_20240718_20240719_02_T1,e5102da4
57.09969847,-119.4380469,2c770bb6,,2c770bb6
58.3469201,-117.0227379,25572d0b,,25572d0b
56.55106972,-117.0227379,0ebb4ff1,,0ebb4ff1
56.50856808,-120.2722341,272e1991,,272e1991
57.75642426,-117.8964635,d69a8fb6,,d69a8fb6
57.71192808,-121.2531469,e38b9678,,e38b9678
58.95847528,-118.7951937,7aff56ea,,7aff56ea
57.16279944,-118.7951937,08af7067,,08af7067
55.87181056,-121.0545687,c06b6df1,,c06b6df1
57.12033306,-118.7196896,f075fa8a,,f075fa8a
57.07690557,-115.42062,f679d2e1,,f679d2e1
55.78596539,-117.6750219,ffe43016,,ffe43016
57.58203651,-117.6750219,f4caffdd,LC09_L2SP_045020_20240718_20240719_02_T1,f4caffdd
56.29080533,-115.3909808,5bd3d1ee,,5bd3d1ee
57.53889135,-113.0293879,8268e2b2,,8268e2b2
55.7428077,-113.0293879,b3f38559,LC09_L2SP_044021_20240711_20240712_02_T1,b3f38559
57.53889135,-113.0293879,b198ed39,,b198ed39
56.24768546,-115.31086,1df6b75d,,1df6b75d
58.04362305,-115.31086,6265265d,,6265265d
59.28979716,-117.7926729,e90a2c20,,e90a2c20
57.49421512,-117.7926729,4b89ee0b,,4b89ee0b
57.45016397,-114.4600311,6693d9bd,LC09_L2SP_045020_20240718_20240719_02_T1,6693d9bd
56.15900984,-112.1838199,a7dca27e,LC09_L2SP_041021_20240722_20240723_02_T1,a7dca27e
56.11712985,-115.4002151,48be826c,LC09_L2SP_045020_20240718_20240719_02_T1,48be826c
56.07531551,-118.6131231,a5eb5c0d,LC09_L2SP_046021_20240709_20240710_02_T1,a5eb5c0d
57.32362694,-116.2653609,31eb2095,LC09_L2SP_045020_20240718_20240719_02_T1,31eb2095
57.27986191,-112.9481387,30140df0,LC08_L2SP_043021_20240728_20240801_02_T1,30140df0
58.52688693,-115.3758134,32a474f4,LC09_L2SP_045020_20240718_20240719_02_T1,32a474f4
56.7310881,-115.3758134,1e788b03,LC09_L2SP_045020_20240718_20240719_02_T1,1e788b03
57.97870728,-117.7662846,05aff0d2,LC08_L2SP_047020_20240708_20240718_02_T1,05aff0d2
57.93382876,-114.388891,91ad7026,LC09_L2SP_045020_20240718_20240719_02_T1,91ad7026
59.72928722,-114.388891,11113522,LC08_L2SP_046018_20240717_20240723_02_T1,11113522
58.43668554,-116.8103491,6c9a1b0b,LC09_L2SP_045020_20240718_20240719_02_T1,6c9a1b0b
57.14493585,-114.4739199,58306d8d,,58306d8d
55.34873742,-114.4739199,5eb80a9e,LC09_L2SP_044021_20240711_20240712_02_T1,5eb80a9e
56.59779462,-116.7764579,3977f5cb,LC09_L2SP_046021_20240709_20240710_02_T1,3977f5cb
57.84555603,-114.3948188,03e3caa6,,03e3caa6
56.55416856,-112.0949317,f8cc92fd,LC09_L2SP_041021_20240722_20240723_02_T1,f8cc92fd
57.80197636,-114.4736971,af7362e9,LC09_L2SP_045020_20240718_20240719_02_T1,af7362e9
56.00596898,-114.4736971,caef458f,LC09_L2SP_045020_20240718_20240719_02_T1,caef458f
57.25435253,-112.1303442,b5177445,,b5177445
58.50140549,-114.5562589,28ff2cec,,28ff2cec
58.45560897,-111.128937,2fc90ef8,,2fc90ef8
57.1638474,-113.4665593,c9bc0853,,c9bc0853
57.12034797,-116.7694942,7ba93e87,,7ba93e87
58.91603587,-116.7694942,0b053ff2,,0b053ff2
57.62398012,-114.4023799,2ff7fd22,,2ff7fd22
59.41952558,-114.4023799,9cd61882,,9cd61882
59.37204876,-117.9217982,73ee48e5,,73ee48e5
58.07969115,-120.3190203,21cdfdcf,,21cdfdcf
59.32582435,-117.8345799,ce6a2dda,,ce6a2dda
58.03349784,-120.2287083,6645f83e,,6645f83e
56.23755733,-120.2287083,8f4fd735,,8f4fd735
56.19555381,-117.0057477,52dd4eee,,52dd4eee
57.44373971,-119.361203,c24406bc,,c24406bc
56.15258931,-117.0853716,a3360536,,a3360536
57.40082013,-114.7326722,98b98890,,98b98890
58.6477123,-112.2966105,13b2ed64,,13b2ed64
57.35582926,-114.6464293,f13eb5ad,,f13eb5ad
56.06472978,-112.375779,1034b43d,,1034b43d
57.86072016,-112.375779,7cb0100e,,7cb0100e
57.81604517,-115.7421416,49b9050c,,49b9050c
59.06247586,-113.2767575,de97e958,,de97e958
57.77032434,-115.653441,b5695e9e,LC09_L2SP_045020_20240718_20240719_02_T1,b5695e9e
55.9743078,-115.653441,68f57ec5,,68f57ec5
57.77032434,-115.653441,f76dd038,,f76dd038
59.56582865,-115.653441,fff0496e,,fff0496e
59.51807566,-119.1880793,7e1f2ad6,,7e1f2ad6
58.2256191,-116.7810206,f2d1feed,,f2d1feed
59.47158612,-114.2858824,21bb4a1c,,21bb4a1c
58.17916119,-111.8819657,76518818,LC08_L2SP_042019_20240721_20240723_02_T1,76518818
56.38326263,-111.8819657,323877ea,,323877ea
56.34102862,-115.1171926,053e5c9f,,053e5c9f
56.2988616,-118.3488521,2dcc3482,LC09_L2SP_046021_20240709_20240710_02_T1,2dcc3482
56.25676132,-121.5769597,27bd3c2a,LC09_L2SP_048021_20240707_20240708_02_T1,27bd3c2a
58.05269629,-121.5769597,4345852a,LC08_L2SP_048019_20240629_20240709_02_T1,4345852a
59.84812151,-121.5769597,82a174eb,LC08_L2SP_051018_20240618_20240706_02_T1,82a174eb
58.05269629,-121.5769597,5be583ac,LC08_L2SP_048019_20240629_20240709_02_T1,5be583ac
58.00768946,-118.1926044,5fb6c081,LC08_L2SP_047020_20240708_20240718_02_T1,5fb6c081
56.21174151,-118.1926044,59f4e39c,,59f4e39c
56.16977864,-121.4134035,58023c7b,,58023c7b
57.4179915,-119.0596025,3bb2abb2,,3bb2abb2
58.66486475,-121.4968605,52075c96,,52075c96
56.86910534,-121.4968605,b01b1269,LC09_L2SP_048021_20240707_20240708_02_T1,b01b1269
58.11657639,-119.0971612,e239e404,,e239e404
59.36266769,-116.610027,0c53feff,,0c53feff
57.56710621,-116.610027,03c634ce,LC09_L2SP_045020_20240718_20240719_02_T1,03c634ce
55.77103075,-116.610027,9c48634d,LC08_L2SP_046021_20240717_20240723_02_T1,9c48634d
57.56710621,-116.610027,1de3f82f,LC09_L2SP_045020_20240718_20240719_02_T1,1de3f82f
55.77103075,-116.610027,0da3c359,,0da3c359
55.72975362,-119.7944689,9ff3c86e,LC09_L2SP_046021_20240709_20240710_02_T1,9ff3c86e
56.97842243,-117.468482,20d69c8e,,20d69c8e
55.68753771,-115.2197489,b001e333,LC09_L2SP_044021_20240711_20240712_02_T1,b001e333
57.48363742,-115.2197489,f92bec57,,f92bec57
55.68753771,-115.2197489,d7594637,LC09_L2SP_044021_20240711_20240712_02_T1,d7594637
55.64638875,-118.3974164,275f0b87,,275f0b87
56.89514304,-120.7182232,92ba10e9,LC09_L2SP_048021_20240707_20240708_02_T1,92ba10e9
58.14258605,-118.3167734,15351819,,15351819
56.85101862,-115.9986998,e8cc03eb,,e8cc03eb
58.64678319,-115.9986998,fe46eae2,LC09_L2SP_045020_20240718_20240719_02_T1,fe46eae2
58.60072649,-119.4402232,07cbaf71,LC08_L2SP_047020_20240708_20240718_02_T1,07cbaf71
57.30887333,-117.0934017,8108c14f,,8108c14f
56.0178009,-114.8255069,e8042133,,e8042133
55.97614172,-111.6208325,a6a5523a,LC09_L2SP_041021_20240722_20240723_02_T1,a6a5523a
57.77215773,-111.6208325,01eb269d,LC08_L2SP_042019_20240721_20240723_02_T1,01eb269d
56.48081411,-113.9162791,82610db8,LC09_L2SP_045020_20240718_20240719_02_T1,82610db8
58.27668464,-113.9162791,e15f072d,,e15f072d
59.52259324,-111.4173716,7f87bdb0,,7f87bdb0
59.47492211,-114.947496,70d5481a,LC08_L2SP_046018_20240717_20240723_02_T1,70d5481a
59.42734099,-111.4223329,46ec1437,LC08_L2SP_042019_20240721_20240723_02_T1,46ec1437
57.63179773,-111.4223329,f69089d9,LC08_L2SP_042019_20240721_20240723_02_T1,f69089d9
59.42734099,-111.4223329,ba78484c,LC08_L2SP_042019_20240721_20240723_02_T1,ba78484c
58.13494605,-113.8232682,a5039dec,,a5039dec
56.33903477,-113.8232682,63803a1c,,63803a1c
57.58707006,-116.1879836,af8675dd,,af8675dd
58.83375627,-113.738872,c59fc86c,LC08_L2SP_046018_20240717_20240723_02_T1,c59fc86c
58.78736176,-117.1988673,9857fa2d,LC09_L2SP_045020_20240718_20240719_02_T1,9857fa2d
57.49538929,-114.8400852,42dcdb2c,,42dcdb2c
56.20420882,-117.1189742,2fb3eff1,LC09_L2SP_046021_20240709_20240710_02_T1,2fb3eff1
57.45238566,-114.7629629,54d79866,,54d79866
56.16123023,-117.0393054,32207fb6,LC09_L2SP_046021_20240709_20240710_02_T1,32207fb6
56.11934676,-113.8227251,d9a2e49a,LC09_L2SP_044021_20240711_20240712_02_T1,d9a2e49a
57.36761229,-116.1732975,3fc15248,LC09_L2SP_045020_20240718_20240719_02_T1,3fc15248
58.614541,-118.6070498,a7b79b01,LC08_L2SP_047020_20240708_20240718_02_T1,a7b79b01
59.86005962,-121.1312362,0d0afcf5,LC08_L2SP_048018_20240629_20240709_02_T1,0d0afcf5
58.06463773,-121.1312362,bcb272d3,LC08_L2SP_048019_20240629_20240709_02_T1,bcb272d3
59.86005962,-121.1312362,6de1aca6,LC08_L2SP_048018_20240629_20240709_02_T1,6de1aca6
58.06463773,-121.1312362,80d36285,LC08_L2SP_048019_20240629_20240709_02_T1,80d36285
59.86005962,-121.1312362,62849525,LC08_L2SP_048018_20240629_20240709_02_T1,62849525
58.56736687,-118.7007592,36219179,LC08_L2SP_047020_20240708_20240718_02_T1,36219179
56.77157962,-118.7007592,55a24a16,LC09_L2SP_046021_20240709_20240710_02_T1,55a24a16
55.48081003,-116.4638183,cbdd38fa,LC08_L2SP_046022_20240717_20240723_02_T1,cbdd38fa
56.72973326,-118.7744191,61b163c3,LC09_L2SP_046021_20240709_20240710_02_T1,61b163c3
58.52553248,-118.7744191,c95574d0,,c95574d0
56.72973326,-118.7744191,ca05acbd,,ca05acbd
58.52553248,-118.7744191,83fad597,LC08_L2SP_047020_20240708_20240718_02_T1,83fad597
57.23372691,-116.4323752,77245417,,77245417
55.94269758,-118.6958772,a2eb60db,LC09_L2SP_046021_20240709_20240710_02_T1,a2eb60db
57.19114675,-116.3565299,d27ff9a3,LC09_L2SP_045020_20240718_20240719_02_T1,d27ff9a3
58.98681454,-116.3565299,f8634687,LC08_L2SP_046018_20240717_20240723_02_T1,f8634687
57.69471265,-118.7282577,06a7997b,LC08_L2SP_047020_20240708_20240718_02_T1,06a7997b
56.40341503,-116.4374739,c05a14a4,LC09_L2SP_045020_20240718_20240719_02_T1,c05a14a4
57.65138245,-118.8063729,f1437eb8,LC08_L2SP_047020_20240708_20240718_02_T1,f1437eb8
58.89799715,-116.3527165,d92eaa11,LC08_L2SP_047019_20240622_20240708_02_T1,d92eaa11
57.60595313,-113.9867746,7d2bf29f,LC09_L2SP_045020_20240718_20240719_02_T1,7d2bf29f
58.85261837,-116.4372185,75317f1a,LC09_L2SP_045020_20240718_20240719_02_T1,75317f1a
57.56060377,-114.0742196,2396f1e8,LC09_L2SP_045020_20240718_20240719_02_T1,2396f1e8
58.80731936,-111.6269725,2a518264,LC08_L2SP_042019_20240721_20240723_02_T1,2a518264
58.76097283,-115.0843417,712b3d4d,LC08_L2SP_046018_20240717_20240723_02_T1,712b3d4d
57.46901733,-117.4414238,525a76eb,LC09_L2SP_045020_20240718_20240719_02_T1,525a76eb
56.17785223,-115.1640972,80756e37,,80756e37
57.42605664,-117.5184161,344cbfc1,,344cbfc1
58.672921,-119.9562364,b1a4a284,LC08_L2SP_047020_20240708_20240718_02_T1,b1a4a284
57.38102189,-117.6048056,f0122821,LC09_L2SP_045020_20240718_20240719_02_T1,f0122821
59.17663591,-117.6048056,2da3f714,LC08_L2SP_048018_20240629_20240709_02_T1,2da3f714
59.12961235,-114.1103176,0186973e,,0186973e
57.83741656,-116.4914194,0c82406c,,0c82406c
59.08382326,-114.0245034,019e3ffa,LC08_L2SP_046018_20240717_20240723_02_T1,019e3ffa
57.79165769,-111.6464171,31cfc7bd,,31cfc7bd
57.74710121,-115.0063629,43000c29,LC09_L2SP_045020_20240718_20240719_02_T1,43000c29
58.99360911,-112.5459053,4bfbc7e6,LC08_L2SP_045018_20240710_20240719_02_T1,4bfbc7e6
57.19794324,-112.5459053,9728a6d6,LC08_L2SP_043021_20240728_20240801_02_T1,9728a6d6
58.99360911,-112.5459053,2c64cf44,LC08_L2SP_045018_20240710_20240719_02_T1,2c64cf44
57.70150277,-114.9180771,0fb30514,,0fb30514
57.65710033,-111.5664639,342a51ca,LC08_L2SP_042019_20240721_20240723_02_T1,342a51ca
59.45263647,-111.5664639,0cbfcf7e,,0cbfcf7e
59.40509735,-115.0893133,fad83f7a,LC08_L2SP_046018_20240717_20240723_02_T1,fad83f7a
57.60954783,-115.0893133,c4a65f92,,c4a65f92
56.31830048,-112.8036304,d067dd09,,d067dd09
57.56635759,-115.1670021,6d99c0b8,,6d99c0b8
57.52218463,-118.5062171,c55ede0d,LC08_L2SP_047020_20240708_20240718_02_T1,c55ede0d
57.47808632,-115.1710306,527a2951,LC09_L2SP_045020_20240718_20240719_02_T1,527a2951
56.18691594,-117.4488942,d555d3d2,LC09_L2SP_046021_20240709_20240710_02_T1,d555d3d2
56.14499212,-114.2301703,49c9bbb7,LC09_L2SP_045020_20240718_20240719_02_T1,49c9bbb7
57.39323088,-111.8779574,54f66dfd,LC09_L2SP_042020_20240627_20240628_02_T1,54f66dfd
59.18884144,-111.8779574,1118322a,LC08_L2SP_042019_20240721_20240723_02_T1,1118322a
59.14179526,-115.3736883,422f5bb5,LC08_L2SP_046018_20240717_20240723_02_T1,422f5bb5
57.34617138,-115.3736883,d26d6827,LC09_L2SP_045020_20240718_20240719_02_T1,d26d6827
59.14179526,-115.3736883,80f52051,LC08_L2SP_046018_20240717_20240723_02_T1,80f52051
57.34617138,-115.3736883,393ba135,LC09_L2SP_045020_20240718_20240719_02_T1,393ba135
59.14179526,-115.3736883,775af0a5,LC08_L2SP_046018_20240717_20240723_02_T1,775af0a5
57.34617138,-115.3736883,13a74d59,LC09_L2SP_045020_20240718_20240719_02_T1,13a74d59
58.59312366,-112.9414244,f30c25b7,LC08_L2SP_045018_20240710_20240719_02_T1,f30c25b7
57.30127532,-115.2877618,7442fb08,,7442fb08
58.54827688,-112.8586073,e3254959,LC08_L2SP_045018_20240710_20240719_02_T1,e3254959
56.75248416,-112.8586073,f0e5de0a,LC09_L2SP_044021_20240711_20240712_02_T1,f0e5de0a
55.46172512,-115.0944673,6e8a0908,LC09_L2SP_044021_20240711_20240712_02_T1,6e8a0908
56.71066776,-117.4038987,9b9e802b,LC09_L2SP_046021_20240709_20240710_02_T1,9b9e802b
56.66790936,-120.6671098,54d22a21,LC09_L2SP_048021_20240707_20240708_02_T1,54d22a21
55.37719682,-118.4360218,c7449f50,LC09_L2SP_046021_20240709_20240710_02_T1,c7449f50
56.62622521,-120.7402914,b5a8c091,LC09_L2SP_048021_20240707_20240708_02_T1,b5a8c091
58.42205404,-120.7402914,8e77c0f1,LC08_L2SP_048019_20240629_20240709_02_T1,8e77c0f1
59.66779559,-118.2305803,db0c1a81,,db0c1a81
59.6198487,-114.6852425,45af7357,LC08_L2SP_046018_20240717_20240723_02_T1,45af7357
59.57199314,-118.2255397,9edb46b1,,9edb46b1
58.27949976,-120.6362548,603a0416,,603a0416
56.98784799,-118.3096797,37d7e3b4,,37d7e3b4
